CRN,COLLISION_TYPE,COUNTY,IMPACT_POINT_NAME,FULL_VIN,Make,Model,ModelYear
2022008553,Head-on,Montgomery,front bumper,JM3KFBDM7K0A00000,AUDI,SQ5,2018
2022008553,Head-on,Montgomery,front bumper,WA1A4AFY3J2A00000,MAZDA,CX-5,2019
2022008553,Head-on,Montgomery,front bumper,WA1A4AFY3J2A00000,AUDI,SQ5,2018
2022008556,Angle,Montgomery,front bumper/headlight,3C4PDDEG7CTA00000,DODGE,Journey,2012
2022008557,Angle,Montgomery,front bumper/headlight,4T1G11AK6MUA00000,TOYOTA,Camry,2021
2022008563,Head-on,Montgomery,front bumper,1N4AA5AP2ECA00000,NISSAN,Maxima,2014
2022008563,Head-on,Montgomery,front bumper,1N4AA5AP2ECA00000,HYUNDAI,Elantra,2014
2022008563,Head-on,Montgomery,front bumper,5NPDH4AE0EHA00000,NISSAN,Maxima,2014
2022008563,Head-on,Montgomery,front bumper,5NPDH4AE0EHA00000,HYUNDAI,Elantra,2014
2022008568,Angle,Delaware,front quarter panel/side mirror,1FMJU1JT0JEA00000,FORD,Expedition,2018
2022008602,Rear-end,Montgomery,rear bumper/tail light,JTMRFREV2FDA00000,TOYOTA,RAV4,2015
2022008809,Rear-end,Delaware,front bumper,2T1BURHE8ECA00000,TOYOTA,Corolla,2014
2022008845,Rear-end,Philadelphia,rear bumper,2HGFB2F57DHA00000,HONDA,Civic,2013
2022008941,Angle,Montgomery,front bumper,JH4CW2H61CCA00000,ACURA,TSX,2012
2022008955,Angle,Delaware,front bumper/headlight,1VWSA7A35MCA00000,VOLKSWAGEN,Passat,2021
2022008955,Angle,Delaware,front bumper/headlight,1VWSA7A35MCA00000,VOLKSWAGEN,Jetta,2011
2022008955,Angle,Delaware,front bumper/headlight,3VWDZ7AJ1BMA00000,VOLKSWAGEN,Passat,2021
2022008955,Angle,Delaware,front bumper/headlight,3VWDZ7AJ1BMA00000,VOLKSWAGEN,Jetta,2011
2022009022,Rear-end,Chester,front quarter panel/side mirror,KNDPM3AC1K7A00000,KIA,Sportage,2019
2022009215,Sideswipe (same dir.),Delaware,rear bumper/tail light,1G4GA5EC9BFA00000,BUICK,LaCrosse,2011
2022009231,Rear-end,Montgomery,rear bumper,5FNYF6H73JBA00000,HONDA,Pilot,2018
2022009289,Rear-end,Delaware,rear bumper/tail light,1N4AA5AP9ACA00000,NISSAN,Maxima,2010
2022009483,Rear-end,Delaware,rear bumper,JTDKN3DU0C5A00000,TOYOTA,Prius,2012
2022009497,Rear-end,Chester,rear bumper,3N1AB7AP2HYA00000,NISSAN,Sentra,2017
2022009514,Rear-end,Montgomery,rear bumper,5FNYF6H52LBA00000,HONDA,Pilot,2020
2022009514,Rear-end,Montgomery,rear bumper,5FNYF6H52LBA00000,SUBARU,XV CrossTrek,2013
2022009514,Rear-end,Montgomery,front bumper,JF2GPAKC2D2A00000,HONDA,Pilot,2020
2022009514,Rear-end,Montgomery,front bumper,JF2GPAKC2D2A00000,SUBARU,XV CrossTrek,2013
